Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
64322,Ballard,3,4,0.5,18,12
9141,Ballard,3,4,0.5,47,47
41721,Ballard,3,4,0.17,12,10
48213,Ballard,3,4,0.17,15,7
80658,Ballard,3,5,1,30,32
48214,Ballard,3,5,0.42,14,12
56653,Ballard,3,5,0.42,22,16
87258,Ballard,3,5,0.33,12,11
13045,Ballard,3,5,0.17,18,17
12689,Ballard,3,4,1.08,22,24
35681,Ballard,3,4,0.67,27,17
3341,Ballard,3,4,0,15,11
35681,Ballard,3,5,0.33,29,25
71002,Ballard,3,4,0.33,48,36
70998,Ballard,3,4,0.75,22,22
87258,Ballard,3,4,0.17,18,5
18621,Ballard,3,4,0.5,29,21
35681,Ballard,3,4,0.5,27,26
86449,Ballard,3,5,1.08,27,19
47622,Ballard,3,4,0.58,18,12
86370,Ballard,3,4,0.5,16,18
87258,Ballard,3,4,0.75,18,11
13045,Ballard,3,4,1,27,22
48770,Ballard,3,4,0.5,18,18
41030,Ballard,3,4,0.08,56,15
80658,Ballard,3,5,0.08,30,18
71290,Ballard,3,5,0.08,11,8
3337,Ballard,3,5,0.33,16,12
48449,Ballard,3,5,0.08,15,2
71002,Ballard,3,4,0.75,48,36
3338,Ballard,3,4,0.17,31,19
19494,Ballard,3,4,0.33,18,18
86450,Ballard,3,4,1,43,54
71574,Ballard,3,4,0.58,24,2
80658,Ballard,3,4,0.25,45,28
19486,Ballard,3,4,0.08,12,3
35681,Ballard,3,5,0.92,29,25
41030,Ballard,3,5,0.75,18,10
87257,Ballard,3,5,0.5,16,15
71290,Ballard,3,5,0.25,11,9
48449,Ballard,3,4,0.08,20,7
56653,Ballard,3,4,1,35,29
31846,Ballard,3,4,0.17,12,8
31849,Ballard,3,4,0.17,46,12
56650,Ballard,3,4,0.67,12,14
35353,Ballard,3,4,0.17,16,20
31849,Ballard,3,4,1.17,23,16
18622,Ballard,3,4,0.08,51,25
56654,Ballard,3,5,1.17,13,9
56654,Ballard,3,5,1.08,28,25
9142,Ballard,3,5,0.92,26,19
31853,Ballard,3,5,0.75,81,68
9142,Ballard,3,5,0.67,26,20
18622,Ballard,3,5,0.42,34,26
9110,Ballard,3,4,0.17,12,13
71001,Ballard,3,4,1.08,18,22
33949,Ballard,3,4,0.83,32,34
70998,Ballard,3,5,0.58,12,14
41030,Ballard,3,4,0.67,56,24
71290,Ballard,3,4,0.33,17,11
9141,Ballard,3,4,0.08,47,36
41030,Ballard,3,5,1.08,18,9
48770,Ballard,3,5,1.08,12,11
63622,Ballard,3,5,0.58,11,7
3337,Ballard,3,4,1.08,24,31
48449,Ballard,3,4,0.42,20,21
12690,Ballard,3,4,0.67,22,20
87257,Ballard,3,4,0.67,24,15
56653,Ballard,3,4,1.25,11,4
70997,Ballard,3,5,0.75,13,14
87254,Ballard,3,4,1,12,7
35682,Ballard,3,4,1,57,53
41721,Ballard,3,4,0.58,12,15
19482,Ballard,3,4,0.58,30,12
3082,Ballard,3,4,0,12,3
18618,Ballard,3,5,1,27,9
35682,Ballard,3,5,0.92,38,35
18622,Ballard,3,5,0.75,34,23
71574,Ballard,3,5,0.58,16,5
86450,Ballard,3,5,0.42,32,25
48770,Ballard,3,5,0.33,12,11
18618,Ballard,3,5,0.33,27,17
35682,Ballard,3,5,0.17,38,31
31850,Ballard,3,5,1.08,19,7
31849,Ballard,3,4,0.5,46,32
56650,Ballard,3,4,0.42,12,14
56649,Ballard,3,4,0.75,12,16
47621,Ballard,3,4,0.92,16,18
87282,Ballard,3,4,0.67,18,15
9141,Ballard,3,4,1.08,47,33
41030,Ballard,3,5,1,18,17
64322,Ballard,3,5,1,12,13
71574,Ballard,3,5,0.5,16,7
35681,Ballard,3,5,0,29,32
31850,Ballard,3,5,0.5,19,19
3338,Ballard,3,5,0.33,20,13
26497,Ballard,3,4,0.75,14,12
56650,Ballard,3,4,0.17,12,14
87262,Ballard,3,4,0.42,40,22
71001,Ballard,3,4,0.83,18,20
87257,Ballard,3,4,0.83,24,26
41726,Ballard,3,4,0.08,61,23
19486,Ballard,3,4,0,12,6
9141,Ballard,3,5,0.17,30,28
3338,Ballard,3,5,0.17,20,12
26502,Ballard,3,4,0,12,6
31846,Ballard,3,4,0.83,12,8
12690,Ballard,3,4,1,22,18
33949,Ballard,3,4,0.17,32,30
79313,Ballard,3,4,0.33,34,34
70997,Ballard,3,5,0.25,13,12
80658,Ballard,3,4,0.92,45,45
71574,Ballard,3,4,0.5,24,5
63622,Ballard,3,5,0.67,11,8
87257,Ballard,3,5,0.58,16,14
31853,Ballard,3,5,0.33,81,64
70997,Ballard,3,4,0.5,26,26
48450,Ballard,3,4,0.17,24,11
79313,Ballard,3,4,0.67,34,30
41721,Ballard,3,4,1.08,12,17
64322,Ballard,3,5,1.08,12,13
71574,Ballard,3,5,0.17,16,6
87282,Ballard,3,5,0.83,12,12
9110,Ballard,3,4,0.92,12,15
19493,Ballard,3,4,1.08,26,6
12690,Ballard,3,4,0.17,22,18
41029,Ballard,3,4,0.17,24,24
70997,Ballard,3,5,0.33,13,11
71002,Ballard,3,5,0.42,18,16
87254,Ballard,3,4,0.92,12,7
87254,Ballard,3,4,0.58,12,1
3342,Ballard,3,4,0.42,15,12
64318,Ballard,3,5,1.08,18,9
56653,Ballard,3,5,0.5,22,12
79314,Ballard,3,4,0.58,36,30
9110,Ballard,3,4,1,12,15
31850,Ballard,3,4,0.75,19,20
19421,Ballard,3,4,0.42,18,20
70998,Ballard,3,5,0.17,12,15
3341,Ballard,3,4,0.83,15,16
19485,Ballard,3,4,0.42,30,19
31853,Ballard,3,4,0.25,117,58
31853,Ballard,3,4,0.17,117,42
9142,Ballard,3,5,1,26,18
71574,Ballard,3,5,0.42,16,7
31854,Ballard,3,5,0.25,28,10
86370,Ballard,3,4,0.83,16,16
33949,Ballard,3,4,0.75,32,30
35682,Ballard,3,4,0.25,57,55
19485,Ballard,3,5,0.92,20,10
18621,Ballard,3,5,0.83,20,17
56654,Ballard,3,5,0.5,28,13
87258,Ballard,3,5,0.5,12,11
19482,Ballard,3,5,0.33,20,13
47621,Ballard,3,4,0.17,16,14
70997,Ballard,3,5,0.67,13,14
9142,Ballard,3,4,0.42,39,33
64321,Ballard,3,5,0.5,12,11
87285,Ballard,3,5,0.75,12,12
71002,Ballard,3,4,0.83,48,44
41029,Ballard,3,4,0.83,24,20
79313,Ballard,3,4,0.5,34,32
87286,Ballard,3,4,0.5,24,9
35682,Ballard,3,4,0.75,57,36
71290,Ballard,3,5,1.08,11,7
71290,Ballard,3,5,0.92,11,12
18621,Ballard,3,5,0.17,20,17
41726,Ballard,3,5,0.08,40,9
3338,Ballard,3,5,0.42,20,13
31850,Ballard,3,5,0.25,19,17
79314,Ballard,3,4,0.42,36,26
86369,Ballard,3,4,0.42,16,14
76961,Ballard,3,4,0.33,26,23
47621,Ballard,3,4,1,16,14
70997,Ballard,3,5,0.42,13,11
70998,Ballard,3,5,0.92,12,14
35682,Ballard,3,4,1.17,19,17
9141,Ballard,3,4,0.58,47,42
35682,Ballard,3,4,0.5,57,54
41725,Ballard,3,4,0.17,12,13
